forecast_month,gdp_growth_point,gdp_growth_lower,gdp_growth_upper,cpi_change_point,cpi_change_lower,cpi_change_upper,yield_spread_point,yield_spread_lower,yield_spread_upper
1,0.9844118967916389,-0.32621715412871866,2.295040947711996,0.3121775769183723,-0.16306065812499088,0.7874158119617354,-1.0642009171531408,-1.986716187675905,-0.14168564663037653
2,0.876642031876188,-0.4339870190441695,2.1872710827965456,0.3210808147376189,-0.15415742030574425,0.796319049780982,-0.9146288776086866,-1.837144148131451,0.007886392914077667
3,0.8143665454871039,-0.4962625054332537,2.1249955964074614,0.31366347121348903,-0.16157476382987412,0.7889017062568522,-0.772550539153595,-1.6950658096763593,0.14996473136916932
4,0.7797008029321264,-0.5309282479882311,2.090329853852484,0.3064793793133599,-0.16875885573000327,0.781717614356723,-0.640183716184677,-1.5626989867074412,0.2823315543380873
5,0.7590079171105832,-0.5516211338097743,2.0696369680309408,0.30155612430669265,-0.1736821107366705,0.7767943593500558,-0.5173884472133019,-1.4399037177360663,0.40512682330946237
6,0.7449522957911027,-0.5656767551292549,2.05558134671146,0.2982446653987878,-0.17699356964457535,0.773482900442151,-0.40352355820157554,-1.3260388287243399,0.5189917123211887
7,0.7340793746666388,-0.5765496762537188,2.0447084255869963,0.29583395627512815,-0.179404278768235,0.7710721913184913,-0.2979102339679243,-1.2204255044906887,0.6246050365548399
8,0.7248662136829285,-0.5857628372374291,2.035495264603286,0.2939034568023783,-0.18133477824098487,0.7691416918457414,-0.19992359817972938,-1.1224388687024938,0.7225916723430349
9,0.716659107760821,-0.5939699431595366,2.0272881586811784,0.29224389212811386,-0.1829943429152493,0.767482127171477,-0.10899773297907951,-1.0315130035018438,0.8135175375436847
10,0.7091731270526155,-0.601455923867742,2.019802177972973,0.29075785805956145,-0.1844803769838017,0.7659960931029246,-0.024616588929750008,-0.9471318594525143,0.8978986815930142
11,0.7022742746117128,-0.6083547763086448,2.0129033255320703,0.2894001358276191,-0.18583809921574407,0.7646383708709823,0.053694103604786714,-0.8688211669179775,0.976209374127551
12,0.695889353490379,-0.6147396974299786,2.0065184044107367,0.28814830281674303,-0.18708993222662013,0.7633865378601061,0.1263723846342334,-0.7961428858885309,1.0488876551569977
13,0.6899699707559641,-0.6206590801643934,2.0005990216763214,0.28698959237896854,-0.18824864266439462,0.7622278274223317,0.19382388985833066,-0.7286913806644336,1.116339160381095
14,0.6844785084776503,-0.6261505424427072,1.9951075593980079,0.2859153478440221,-0.18932288719934104,0.7611535828873852,0.2564247172127,-0.6660905533100643,1.1789399877354643
15,0.6793827225921379,-0.6312463283282196,1.9900117735124954,0.28491876584138903,-0.19031946920197412,0.7601570008847522,0.3145237741560314,-0.6079914963667329,1.2370390446787956
16,0.674653645766865,-0.6359754051534925,1.9852826966872226,0.2839939955647675,-0.19124423947859565,0.7592322306081307,0.3684448222902168,-0.5540704482325475,1.290960092812981
17,0.6702647314355243,-0.6403643194848332,1.9808937823558819,0.28313577772428816,-0.192102457319075,0.7583740127676513,0.41848832030957733,-0.5040269502131869,1.3410035908323417
18,0.6661914589008583,-0.6444375920194992,1.976820509821216,0.28233929297475097,-0.1928989420686122,0.7575775280181141,0.4649331128762337,-0.4575821576465306,1.387448383398998
19,0.6624111104667314,-0.6482179404536261,1.973040161387089,0.28160009045135864,-0.1936381445920045,0.7568383254947217,0.5080379897816985,-0.4144772807410658,1.4305532603044626
20,0.6589026152989135,-0.6517264356214441,1.969531666219271,0.2809140469952698,-0.19432418804809337,0.7561522820386329,0.548043129889782,-0.3744721406329823,1.4705584004125463
21,0.6556464220873923,-0.6549826288329652,1.9662754730077499,0.2802773385627577,-0.19496089648060544,0.7555155736061209,0.5851714401064905,-0.3373438304162738,1.5076867106292546
22,0.6526243868421058,-0.6580046640782518,1.9632534377624633,0.27968641697886665,-0.1955518180644965,0.7549246520222298,0.6196297976531248,-0.3028854728696395,1.542145068175889
23,0.6498196707487199,-0.6608093801716376,1.9604487216690774,0.27913798951056273,-0.19610024553280042,0.7543762245539258,0.6516102028608592,-0.27090506766190503,1.5741254733836234
24,0.6472166460181291,-0.6634124049022284,1.9578456969384868,0.27862900030204674,-0.19660923474131642,0.7538672353454099,0.6812908490158556,-0.2412244215069087,1.60380611953862
25,0.6448008087119317,-0.6658282422084258,1.9554298596322892,0.2781566132771607,-0.19708162176620247,0.7533948483205238,0.7088371152530746,-0.2136781552696897,1.631352385775839
26,0.6425586978997108,-0.6680703530206468,1.9531877488200684,0.2777181963147109,-0.19752003872865226,0.7529564313580741,0.7344024880438823,-0.18811278247888197,1.6569177585666466
27,0.6404778206482737,-0.6701512302720838,1.9511068715686313,0.27731130657567193,-0.19792692846769122,0.7525495416190351,0.758129416416229,-0.16438585410653528,1.6806446869389933
28,0.6385465824100842,-0.6720824685102733,1.9491756333304417,0.27693367688985393,-0.19830455815350922,0.7521719119332171,0.7801501056740654,-0.14236516484869888,1.7026653761968298
29,0.636754222418804,-0.6738748285015536,1.9473832733391614,0.27658320312281454,-0.19865503192054862,0.7518214381661776,0.8005872540390191,-0.12192801648374518,1.7231025245617833
30,0.635090753730876,-0.6755382971894816,1.9457198046512336,0.2762579324515989,-0.19898030259176425,0.7514961674949621,0.8195547363190062,-0.10296053420375806,1.7420700068417705
31,0.633546907578818,-0.6770821433415395,1.9441759584991756,0.2759560524836826,-0.19928218255968055,0.7511942875270458,0.8371582384131901,-0.08535703210957413,1.7596735089359545
32,0.6321140817261337,-0.6785149691942238,1.9427431326464912,0.27567588115840835,-0.1995623538849548,0.7509141162017715,0.8534958461887298,-0.06901942433403452,1.776011116711494
33,0.6307842925360819,-0.6798447583842756,1.9414133434564396,0.27541585737462765,-0.1998223776687355,0.7506540924179907,0.8686585920105145,-0.053856678512249734,1.7911738625332787
34,0.6295501304872457,-0.6810789204331118,1.9401791814076033,0.2751745322923227,-0.20006370275104046,0.7504127673356858,0.8827309619691242,-0.039784308553640124,1.8052462324918883
35,0.6284047188880381,-0.6822243320323195,1.9390337698083955,0.2749505612597401,-0.20028767378362305,0.7501887963031033,0.8957913666332622,-0.026723903889502076,1.8183066371560264
36,0.6273416755601087,-0.6832873753602489,1.9379707264804662,0.27474269632105686,-0.2004955387223063,0.74998093136442,0.9079125779496745,-0.01460269257308977,1.8304278484724388
37,0.6263550772771538,-0.6842739736432037,1.9369841281975113,0.2745497792628303,-0.20068845578053285,0.7497880143061935,0.9191621347249367,-0.003353135797827589,1.841677405247701
38,0.6254394267609839,-0.6851896241593737,1.9360684776813413,0.274370735160489,-0.20086749988287417,0.7496089702038522,0.929602718948437,0.007087448425672771,1.8521179894712012
39,0.6245896220509541,-0.6860394288694034,1.9352186729713117,0.27420456638890445,-0.2010336686544587,0.7494428014322676,0.9392925050534069,0.016777234530642615,1.861807775576171
40,0.6238009280760854,-0.6868281228442721,1.934429978996443,0.27405034706367215,-0.201187887979691,0.7492885821070353,0.948285484062065,0.025770213539300757,1.8708007545848293
41,0.6230689502714762,-0.6875601006488813,1.9336980011918339,0.27390721788212785,-0.2013310171612353,0.7491454529254911,0.9566317644209974,0.034116493898233125,1.8791470349437618
42,0.6223896100919981,-0.6882394408283594,1.9330186610123556,0.2737743813353547,-0.20146385370800846,0.7490126163787179,0.9643778512030119,0.04186258068024762,1.8868931217257763
43,0.6217591222868389,-0.6888699286335186,1.9323881732071966,0.27365109726450193,-0.20158713777886123,0.7488893323078651,0.9715669052311676,0.04905163470840335,1.894082175753932
44,0.6211739738082669,-0.6894550771120906,1.9318030247286244,0.27353667873665516,-0.201701556306708,0.7487749137800184,0.9782389835688055,0.05572371304604118,1.9007542540915696
45,0.6206309042370978,-0.6899981466832598,1.9312599551574552,0.2734304882172793,-0.20180774682608388,0.7486687232606424,0.9844312627155789,0.06191599219281463,1.9069465332383433
46,0.6201268876157958,-0.6905021633045617,1.9307559385361532,0.27333193401790684,-0.20190630102545631,0.74857016906127,0.9901782457531223,0.06766297523035802,1.9126935162758865
47,0.6196591155879843,-0.6909699353323733,1.9302881665083418,0.2732404669992781,-0.20199776804408504,0.7484787020426413,0.9955119545945625,0.07299668407179827,1.918027225117327
48,0.6192249817504178,-0.6914040691699397,1.9298540326707754,0.2731555775115638,-0.20208265753179938,0.748393812554927,1.000462108409079,0.07794683788631473,1.9229773789318432
49,0.6188220671302304,-0.6918069837901272,1.9294511180505878,0.27307679255462036,-0.2021614424887428,0.7483150275979835,1.0050562892156856,0.0825410186929213,1.9275715597384497
50,0.6184481267065332,-0.6921809242138244,1.9290771776268907,0.2730036731424563,-0.20223456190090683,0.7482419081858195,1.0093200955689139,0.08680482504614961,1.9318353660916783
51,0.6181010769012673,-0.6925279740190903,1.9287301278216247,0.2729358118572233,-0.20230242318613983,0.7481740469005864,1.013277285192728,0.09076201466996381,1.9357925557154925
52,0.6177789839696065,-0.692850066950751,1.928408034889964,0.2728728305791033,-0.20236540446425988,0.7481110656224664,1.0169499073574204,0.09443463683465614,1.9394651778801846
53,0.6174800532252245,-0.693148997695133,1.928109104145582,0.2728143783794431,-0.20242385666392004,0.7480526134228063,1.0203584257370852,0.09784315521432096,1.9428736962598494
54,0.6172026190403881,-0.6934264318799694,1.9278316699607456,0.27276012956539714,-0.20247810547796602,0.7479983646087602,1.0235218324322268,0.10100656190946256,1.9460371029549912
55,0.6169451355651607,-0.6936839153551968,1.9275741864855183,0.27270978186518213,-0.20252845317818102,0.7479480169085453,1.02645775379283,0.10394248327006583,1.9489730243155945
56,0.6167061681140001,-0.6939228828063574,1.9273352190343576,0.2726630547438337,-0.20257518029952948,0.7479012897871968,1.029182548631535,0.10666727810877064,1.9516978191542993
57,0.6164843851717599,-0.6941446657485977,1.9271134360921174,0.2726196878400786,-0.20261854720328454,0.7478579228834418,1.031711399374154,0.10919612885138974,1.9542266698969182
58,0.6162785509745506,-0.6943504999458069,1.926907601894908,0.2725794395156146,-0.20265879552774857,0.7478176745589777,1.0340583966554189,0.1115431261326546,1.956573667178183
59,0.6160875186241237,-0.6945415322962338,1.9267165695444812,0.2725420855087131,-0.20269614953465004,0.7477803205520763,1.0362366178313196,0.11372134730855532,1.958751888354084
60,0.6159102236974088,-0.6947188272229488,1.9265392746177663,0.27250741768464404,-0.20273081735871912,0.7477456527280072,1.0382581998455027,0.11574292932273844,1.960773470368267
61,0.6157456783155998,-0.6948833726047577,1.9263747292359574,0.2724752428759587,-0.20276299216740445,0.7477134779193219,1.0401344068557385,0.11761913633297427,1.962649677378503
62,0.615592965639742,-0.6950360852806156,1.9262220165600996,0.27244538180617034,-0.20279285323719282,0.7476836168495335,1.041875692997266,0.11936042247450163,1.9643909635200303
63,0.615451234762149,-0.6951778161582085,1.9260802856825066,0.27241766809083406,-0.2028205669525291,0.7476559031341972,1.0434917606327312,0.12097649010996692,1.9660070311554954
64,0.6153196959651865,-0.695309354955171,1.925948746885544,0.2723919473104606,-0.20284628773290253,0.7476301823538238,1.0449916144132865,0.1224763438905222,1.9675068849360509
65,0.6151976163210031,-0.6954314345993544,1.9258266672413606,0.2723680761500987,-0.20287015889326443,0.7476063111934619,1.0463836114520728,0.12386834092930854,1.968898881974837
66,0.615084315607692,-0.6955447353126656,1.9257133665280495,0.2723459216007907,-0.20289231344257247,0.7475841566441539,1.0476755078896525,0.1251602373668882,1.9701907784124169
67,0.6149791625191269,-0.6956498884012307,1.9256082134394843,0.2723253602184531,-0.20291287482491005,0.7475635952618163,1.0488745021108514,0.12635923158808715,1.9713897726336156
68,0.6148815711473548,-0.6957474797730028,1.9255106220677123,0.2723062774360524,-0.20293195760731075,0.7475445124794156,1.0499872748538137,0.12747200433104944,1.972502545376578
69,0.6147909977179452,-0.6958380532024123,1.9254200486383026,0.2722885669252426,-0.20294966811812054,0.7475268019686058,1.0510200264347527,0.1285047559119884,1.9735352969575168
70,0.6147069375601049,-0.6959221133602527,1.9253359884804624,0.27227213000390915,-0.202966105039454,0.7475103650472723,1.0519785112958147,0.12946324077305038,1.974493781818579
71,0.6146289222946766,-0.696000128625681,1.9252579732150341,0.27225687508631685,-0.2029813599570463,0.7474951101296801,1.0528680700685542,0.13035279954578993,1.9753833405913186
72,0.614556517224353,-0.6960725336960045,1.9251855681447105,0.2722427171727984,-0.20299551787056475,0.7474809522161616,1.0536936593316766,0.1311783888089123,1.9762089298544407
73,0.614489318911564,-0.6961397320087935,1.9251183698319214,0.2722295773761405,-0.20300865766722265,0.7474678124195037,1.054459879228855,0.13194460870609082,1.9769751497516195
74,0.6144269529305421,-0.6962020979898155,1.9250560038508997,0.2722173824820281,-0.20302085256133506,0.7474556175253912,1.0551709991005114,0.1326557285777471,1.9776862696232755
75,0.6143690717810399,-0.6962599791393176,1.9249981227013975,0.27220606454109747,-0.20303217050226569,0.7474442995844606,1.0558309812723743,0.13331571074961002,1.9783462517951387
76,0.6143153529520762,-0.6963136979682814,1.9249444038724337,0.2721955604903261,-0.20304267455303704,0.7474337955336893,1.0564435031333685,0.13392823261060427,1.978958773656133
77,0.6142654971249187,-0.6963635537954388,1.9248945480452764,0.27218581180164825,-0.2030524232417149,0.7474240468450114,1.0570119776258489,0.1344967071030846,1.9795272481486132
78,0.6142192265052964,-0.6964098244150612,1.924848277425654,0.2721767641558393,-0.20306147088752385,0.7474149991992025,1.0575395722623508,0.13502430173958657,1.980054842785115
79,0.6141762832755414,-0.6964527676448161,1.924805334195899,0.27216836713985193,-0.20306986790351123,0.7474066021832151,1.0580292267748181,0.13551395625205387,1.9805444972975823
80,0.6141364281580427,-0.6964926227623148,1.9247654790784003,0.27216057396591686,-0.2030776610774463,0.74739880900928,1.0584836694946482,0.13596839897188395,1.9809989400174124
81,0.6140994390820023,-0.6965296118383553,1.9247284900023598,0.27215334121084367,-0.2030848938325195,0.7473915762542068,1.0589054325548228,0.13639016203205856,1.9814207030775872
82,0.6140651099460669,-0.6965639409742906,1.9246941608664243,0.2721466285740689,-0.20309160646929425,0.7473848636174321,1.0592968659988315,0.13678159547606727,1.981812136521596
83,0.6140332494699421,-0.6965958014504154,1.9246623003902996,0.27214039865310324,-0.2030978363902599,0.7473786336964664,1.0596601508750014,0.13714488035223715,1.9821754213977658
84,0.614003680128587,-0.6966253707917706,1.9246327310489444,0.27213461673512657,-0.2031036183082366,0.7473728517784897,1.0599973113891932,0.1374820408664289,1.9825125819119576
